studynumber,id,arm,year,drug,n,FullStudyName,corr_auth,corr_auth_email,other_email,answer_after_1_mail,bibkey,treatment,index,val
4686,Ishigooka 2018,78381,2018,Placebo,116,"Ishigooka J, Inada T, Miura S. Olanzapine versus haloperidol in the treatment of patients with chronic schizophrenia: Results of the japan multicenter, double-blind olanzapine trial. Psychiatry & clinical Neurosciences2001",Dr Tadori,tadori.yoshihiro@otsuka.jp,,,Ishigooka2018,control,prolactinm,0.57913
4686,Ishigooka 2018,78421,2018,Brexpiprazole,228,,,,,,Ishigooka2018,active,prolactinm,1.95884955752212
2798,Litman 2016,7675,2016,Placebo,55,"Litman RE, Smith MA, Doherty JJ et al.AZD8529, a positive allosteric modulator at the mGluR2 receptor, does not improve symptoms in schizophrenia: A proof of principle study. Abstracts of the 4th Biennial Schizophrenia International Research Conference2016","Dr Litman, Dr Zukin","relitman@cbhhealth.com, stephen.zukin@frx.com",,,Litman2016,control,prolactinm,16
2798,Litman 2016,7676,2016,Risperidone,31,,,,,,Litman2016,active,prolactinm,43
331,NCT01104766a,700,2015,Placebo,153,"Durgam S, Cutler AJ, Lu K et al.Cariprazine in acute exacerbation of schizophrenia: A fixed-dose, phase 3, randomized, double-blind, placebo-and active-controlled trial. Journal of clinical Psychiatry2015",Dr Durgam,suresh.durgam@actavis.com,falscher Kontakt Allergan kontaktiert,noch keine Antwort von Allergan erhalten,Durgam2015,control,prolactinm,-16.9
331,NCT01104766a,699,2015,Aripiprazole,152,,,,,,Durgam2015,active,prolactinm,-20.6
331,NCT01104766b,76206,2015,Cariprazine,312,,,,,,Durgam2015,active,prolactinm,-18.2650641025641
978,Lieberman 2015,3198,2015,Placebo,85,"Lieberman JA, Davis RE, Correll CU et al.ITI-007 for the treatment of schizophrenia: A 4-week randomized, double-blind, controlled trial. Biol Psychiatry2015",Dr Vanover,kvanover@intracellulartherapies.com,,,Lieberman2015,control,prolactinm,-0.47
978,Lieberman 2015,3199,2015,Risperidone,82,,,,,,Lieberman2015,active,prolactinm,33.02
1033,Kane 2015,3340,2015,Placebo,184,,,,,,Kane2015a,control,prolactinm,-2.64
1033,Kane 2015,76209,2015,Brexpiprazole,370,,,,,,Kane2015a,active,prolactinm,-1.26042857142857
1056,Correll 2015,3392,2015,Placebo,184,,,,,,Correll2015,control,prolactinm,-2.95
1056,Correll 2015,76210,2015,Brexpiprazole,362,,,,,,Correll2015,active,prolactinm,-0.701617647058824
1406,NCT01098110,4158,2015,Placebo,174,"Kinoshita T, Bai YM, Kim JH, Miyake M, Oshima N. Efficacy and safety of asenapine in asian patients with an acute exacerbation of schizophrenia: A multicentre, randomized, double-blind, 6-week, placebo-controlled study. Psychopharmacology2016",Dr Kinoshita,kinoshit@takii.kmu.ac.jp,,,Kinoshita2016,control,prolactinm,-27.79
1406,NCT01098110,76211,2015,Asenapine,358,,,,,,Kinoshita2016,active,prolactinm,-15.5618803418803
1408,NCT01617187a,4163,2015,Asenapine,113,"Landbloom R, Mackle M, Wu X et al.Asenapine for the treatment of adults with an acute exacerbation of schizophrenia: Results from a randomized, double-blind, fixed-dose, placebo-controlled trial with olanzapine as an active control. CNS Spectr2016",Dr McIntyre,roger.mcintyre@uhn.ca,,,Landbloom2017,active,prolactinm,
1408,NCT01617187a,4165,2015,Placebo,103,,,,,,Landbloom2017,control,prolactinm,
1408,NCT01617187b,4164,2015,Olanzapine,46,,,,,,Landbloom2017,active,prolactinm,
1415,NCT00905307a,4180,2015,Aripiprazole,50,"Kane JM, Skuban A, Hobart M et al.Overview of short-and long-term tolerability and safety of brexpiprazole in patients with schizophrenia. Schizophrenia Research2016",Dr Kane,JKane2@NSHS.edu,,,Kane2016,active,prolactinm,-9.68
1415,NCT00905307a,4185,2015,Placebo,95,,,,,,Kane2016,control,prolactinm,-13.06
1415,NCT00905307b,4183,2015,Brexpiprazole,90,,,,,,Kane2016,active,prolactinm,-2.7
3017,Loebel 2015a,7985,2015,Lurasidone,199,"Loebel A, Silva R, Goldman R et al.Lurasidone dose escalation in early nonresponding patients with schizophrenia: A randomized, placebo-controlled study. J Clin Psychiatry2016",Dr Loebel,antony.loebel@sunovion.com,,,Loebel2016,active,prolactinm,-7.08631578928421
3017,Loebel 2015a,8166,2015,Placebo,112,,,,,,Loebel2016,control,prolactinm,-4.54
280,Litmann 2014,591,2014,Placebo,41,"Litman RE, Smith MA, Desai DG, Simpson T, Sweitzer D, Kanes SJ. The selective neurokinin 3 antagonist azd2624 does not improve symptoms or cognition in schizophrenia: A proof-of-principle study. Journal of clinical Psychopharmacology2014",Dr Litman,relitman@cbhhealth.com,,,Litman2014,control,prolactinm,
280,Litmann 2014,590,2014,Olanzapine,22,,,,,,Litman2014,active,prolactinm,
394,Schmidt 2014,836,2014,Olanzapine,93,,,,,,Schmidt2014,active,prolactinm,-6.06
601,Shen 2014,2965,2014,Placebo,78,"Shen JH, Zhao Y, Rosenzweig-Lipson S et al.A 6-week randomized, double-blind, placebo-controlled, comparator referenced trial of vabicaserin in acute schizophrenia. Journal of Psychiatric Research2014",Dr Williamns,jwilliams@medavante.com,,,Shen2014,control,prolactinm,
601,Shen 2014,2964,2014,Olanzapine,77,,,,,,Shen2014,active,prolactinm,
649,Durgam 2014a,2423,2014,Placebo,151,,,,,,Durgam2014,control,prolactinm,-11.35111672
649,Durgam 2014a,2424,2014,Risperidone,140,"Durgam S, Starace A, Li D et al.An evaluation of the safety and efficacy of cariprazine in patients with acute exacerbation of schizophrenia: A phase ii, randomized clinical trial. Schizophrenia Research2014",Dr Durgam,suresh.durgam@frx.com,,,Durgam2014,active,prolactinm,24.81832867
649,Durgam 2014b,76207,2014,Cariprazine,438,,,,,,Durgam2014,active,prolactinm,-14.6445914486986
674,Geffen 2012,2476,2012,Risperidone,91,"Geffen Y, Keefe R, Rabinowitz J, Anand R, Davidson M. Bl-1020, a new gamma-aminobutyric acid-enhanced antipsychotic: Results of 6-week, randomized, double-blind, controlled, efficacy and safety study. Journal of clinical Psychiatry2012",Dr Geffen,yg@avphar.com,falscher Kontakt: neuer Kontakt: Michael.Davidson@sheba.health.gov.il,,Geffen2012,active,prolactinm,45.74
674,Geffen 2012,2475,2012,Placebo,93,,,,,,Geffen2012,control,prolactinm,-3.39
245,Kinon 2011,505,2011,Olanzapine,62,"Kinon BJ, Zhang L, Millen BA et al.A multicenter, inpatient, phase 2, double-blind, placebo-controlled dose-ranging study of ly2140023 monohydrate in patients with dsm-iv schizophrenia. Journal of clinical Psychopharmacology2011",Dr Kinon,Kinon_Bruce@Lilly.com,,,Kinon2011,active,prolactinm,1.59
245,Kinon 2011,506,2011,Placebo,122,,,,,,Kinon2011,control,prolactinm,-9.43
235,Kane 2010a,483,2010,Haloperidol,115,"Kane JM, Cohen M, Zhao J, Alphs L, Panagides J. Efficacy and safety of asenapine in a placebo-and haloperidol-controlled trial in patients with acute exacerbation of schizophrenia. Journal of clinical Psychopharmacology2010",Dr Kane,JKane2@NSHS.edu,,,Kane2010,active,prolactinm,2.8
235,Kane 2010a,484,2010,Placebo,123,,,,,,Kane2010,control,prolactinm,-19.2
235,Kane 2010b,482,2010,Asenapine,220,,,,,,Kane2010,active,prolactinm,-13.2
403,Study 006,902,2010,Lurasidone,99,,,,,,Ogasa2013,active,prolactinm,16
403,Study 006,903,2010,Placebo,50,,,,,,Ogasa2013,control,prolactinm,-2
404,Study 049a,904,2010,Haloperidol,73,,,,,,Potkin2015,active,prolactinm,19.7
404,Study 049a,906,2010,Placebo,72,,,,,,Potkin2015,control,prolactinm,-2.8
404,Study 049b,905,2010,Lurasidone,140,,,,,,Potkin2015,active,prolactinm,5.7
891,Study 196,2996,2010,Placebo,90,,,,,,Nakamura2009,control,prolactinm,-0.7
891,Study 196,2995,2010,Lurasidone,90,,,,,,Nakamura2009,active,prolactinm,4.6
892,Study 229,2997,2010,Lurasidone,372,,,,,,Nasrallah2013,active,prolactinm,4.93
892,Study 229,2998,2010,Placebo,128,,,,,,Nasrallah2013,control,prolactinm,-3.78
893,Study 231a,3001,2010,Placebo,116,,,,,,Meltzer2011,control,prolactinm,-2.52
893,Study 231a,3000,2010,Olanzapine,123,,,,,,Meltzer2011,active,prolactinm,5.02
893,Study 231b,2999,2010,Lurasidone,239,,,,,,Meltzer2011,active,prolactinm,6.43
894,Study 233a,3003,2010,Placebo,122,,,,,,Harvey2013,control,prolactinm,-3.15
894,Study 233a,3004,2010,Quetiapine,120,,,,,,Harvey2013,active,prolactinm,-3.43
894,Study 233b,3002,2010,Lurasidone,246,,,,,,Harvey2013,active,prolactinm,4.55
163,Garcia 2009,324,2009,Haloperidol,60,"Garcia E, Robert M, Peris F, Nakamura H, Sato N, Terazawa Y. The efficacy and safety of blonanserin compared with haloperidol in acute-phase schizophrenia: A randomized, double-blind, placebo-controlled, multicentre study. CNS Drugs2009",Dr Nakamura,hiroshi-nakamura@ds-pharma.co.jp,,Daten erhalten,Garcia2009,active,prolactinm,14.01
163,Garcia 2009,325,2009,Placebo,64,,,,,,Garcia2009,control,prolactinm,-4.95
190,Hera 041-021a,383,2009,Asenapine,208,"SH. A multicenter, randomized, double-blind, fixed-dose, 6-week trial of the efficacy and safety of asenapine compared with placebo using olanzapine postive control in subjects with an acute exacerbation of schizophrenia. Center for drug evaluation and research",Dr McIntyre,roger.mcintyre@uhn.ca,,,Hera2009a,active,prolactinm,-5
190,Hera 041-021a,385,2009,Placebo,106,,,,,,Hera2009a,control,prolactinm,-5
190,Hera 041-021b,384,2009,Olanzapine,103,,,,,,Hera2009a,active,prolactinm,-3
191,Hera 041-022,387,2009,Olanzapine,93,,,,,,Hera2009b,active,prolactinm,-2
191,Hera 041-022,388,2009,Placebo,93,,,,,,Hera2009b,control,prolactinm,-5
