Study_No,Study_ID,Arm_ID,Year,Drug,No_randomised,WeightContM,WeightContSD,WeightContN,WeightContChangeEndpoint,WeightGainSDOrigin,ProlactinM,ProlactinSD,ProlactinN,ProlactinChangeEndpoint,ProlactinSDOrigin,QTcM,QTcSD,QTcN,QTcChangeEndpoint,QTcSDOrigin,FullStudyName,corr_auth,corr_auth_email,other_email,answer_after_1_mail,bibkey
3687,ENLIGHTEN-1,76023,2018,Olanzapine,133,,,,,,,,,,,,,,,,"McDonnell D, Potkin SG, Simmons A, Jiang Y, DiPetrillo L, Silverman B. A phase 3 study to determine the antipsychotic efficacy and safety of alks 3831 in adult patients with acute exacerbation of schizophrenia. Schizophrenia Bulletin2018",Professor Potkin,sgpotkin@uci.edu,,,McDonnell2018
3687,ENLIGHTEN-1,76159,2018,Placebo,134,,,,,,,,,,,,,,,,,,,,,McDonnell2018
3325,NCT01810380a,8876,2016,Brexpiprazole,150,,,,,,,,,,,,,,,,"Marder SR, Hakala MJ, Josiassen MK et al.Brexpiprazole in patients with schizophrenia: Overview of short-and long-term phase 3 controlled studies. Acta Neuropsychiatr2016",Dr Marder,marder@ucla.edu,,,Marder2017
3325,NCT01810380a,9117,2016,Placebo,163,,,,,,,,,,,,,,,,,,,,,Marder2017
3325,NCT01810380b,9019,2016,Quetiapine,154,,,,,,,,,,,,,,,,,,,,,Marder2017
3325,NCT01810380b,9117,2016,Placebo,163,,,,,,,,,,,,,,,,,,,,,Marder2017
968,Study RGH-MD-05,3170,2015,Cariprazine,151,,,,,,,,,,,,,,,,"Kane JM, Zukin S, Wang Y et al.Efficacy and safety of cariprazine in acute exacerbation of schizophrenia: Results from an international, phase iii clinical trial. Journal of clinical Psychopharmacology2015",Dr Kane,JKane2@NSHS.edu,,,Kane2015b
968,Study RGH-MD-05,5117,2015,Placebo,147,,,,,,,,,,,,,,,,,,,,,Kane2015b
59,Bugarski-Kirola,134,2014,Placebo,79,0.6,5,80,change,sd estimated from mean of SDs,,,,,,,,,,,"Bugarski-Kirola D, Wang A, Abi-Saab D, Blattler T. A phase ii/iii trial of bitopertin monotherapy compared with placebo in patients with an acute exacerbation of schizophrenia -results from the candlelyte study. European Neuropsychopharmacology2014",Dr Burgarksi-Kirola,dragana.bugarski-kirola@roche.com,"kontakt falsch, Roche kontaktiert","keine Mitarbeiter mehr bei Roche, um neuen Kontakt gebeten",Bugarski2014
59,Bugarski-Kirola,133,2014,Olanzapine,63,2.6,5,62,change,sd estimated from mean of SDs,,,,,,,,,,,,,,,,Bugarski2014
394,Schmidt 2014,837,2014,Placebo,101,,,,,,-6.68,36.7063236773344,99,change,sd estimated from mean of SDs,,,,,,"Schmidt ME, Kent JM, Daly E et al.A double-blind, randomized, placebo-controlled study with jnj-37822681, a novel, highly selective, fast dissociating d2 receptor antagonist in the treatment of acute exacerbation of schizophrenia. European Neuropsychopharmacology2012",Dr Schmidt,mschmid4@its.jnj.com,,komische Antwort,Schmidt2014
998,Cantillon 2014,3254,2014,Aripiprazole,20,,,,,,,,,,,,,,,,Cantillon M. Efficacy and safety of novel dopamine serotonin stabilizer rp 5063 in acute schizophrenia and schizoaffective disorder. Schizophrenia Research2014,Dr Cantillon,mcantillon@revivapharma.com,,,Cantillon2015
998,Cantillon 2014,3255,2014,Placebo,39,,,,,,,,,,,,,,,,,,,,,Cantillon2015
1010,Downing 2014,3278,2014,Placebo,295,,,,,,,,,,,,,,,,"Downing AM, Kinon BJ, Millen BA et al.A double-blind, placebo-controlled comparator study of ly2140023 monohydrate in patients with schizophrenia. BMC Psychiatry2014",Dr Downing,downing_anncatherine_m@lilly.com,,Daten erhalten,Downing2014
