studynumber,id,arm,year,drug,n,weightm,weightsd,weightn,weightextraction,weightsdorigin,FullStudyName,corr_auth,corr_auth_email,other_email,answer_after_1_mail,bibkey,treatment
4686,Ishigooka 2018,78381,2018,Placebo,116,-1.16,5,116,change,sd estimated from mean of SDs,"Ishigooka J, Inada T, Miura S. Olanzapine versus haloperidol in the treatment of patients with chronic schizophrenia: Results of the japan multicenter, double-blind olanzapine trial. Psychiatry & clinical Neurosciences2001",Dr Tadori,tadori.yoshihiro@otsuka.jp,,,Ishigooka2018,control
4686,Ishigooka 2018,78421,2018,Brexpiprazole,228,-2.68986784140969,5,227,change,sd estimated from mean of SDs,,,,,,Ishigooka2018,active
2798,Litman 2016,7675,2016,Placebo,55,0.9,4.4,55,change,original,"Litman RE, Smith MA, Doherty JJ et al.AZD8529, a positive allosteric modulator at the mGluR2 receptor, does not improve symptoms in schizophrenia: A proof of principle study. Abstracts of the 4th Biennial Schizophrenia International Research Conference2016","Dr Litman, Dr Zukin","relitman@cbhhealth.com, stephen.zukin@frx.com",,,Litman2016,control
2798,Litman 2016,7676,2016,Risperidone,31,1.5,2.7,31,change,original,,,,,,Litman2016,active
331,NCT01104766a,700,2015,Placebo,153,0.1,3.61969389008628,153,change,sd estimated from mean of SDs,"Durgam S, Cutler AJ, Lu K et al.Cariprazine in acute exacerbation of schizophrenia: A fixed-dose, phase 3, randomized, double-blind, placebo-and active-controlled trial. Journal of clinical Psychiatry2015",Dr Durgam,suresh.durgam@actavis.com,falscher Kontakt Allergan kontaktiert,noch keine Antwort von Allergan erhalten,Durgam2015,control
331,NCT01104766a,699,2015,Aripiprazole,152,0.7,3.61969389008628,152,change,sd estimated from mean of SDs,,,,,,Durgam2015,active
331,NCT01104766b,76206,2015,Cariprazine,312,0.699358974358974,3.61969389008628,312,change,sd estimated from mean of SDs,,,,,,Durgam2015,active
978,Lieberman 2015,3198,2015,Placebo,85,0.8,3.46,85,change,original,"Lieberman JA, Davis RE, Correll CU et al.ITI-007 for the treatment of schizophrenia: A 4-week randomized, double-blind, controlled trial. Biol Psychiatry2015",Dr Vanover,kvanover@intracellulartherapies.com,,,Lieberman2015,control
978,Lieberman 2015,3199,2015,Risperidone,82,3,3.69,82,change,original,,,,,,Lieberman2015,active
1033,Kane 2015,3340,2015,Placebo,184,0.35,3.61969389008628,184,change,sd estimated from mean of SDs,,,,,,Kane2015a,control
1033,Kane 2015,76209,2015,Brexpiprazole,370,1.706,3.61969389008628,370,change,sd estimated from mean of SDs,,,,,,Kane2015a,active
